Name, Price, Source
TCP 801023-35 - 23 Watt - CFL - 100 W Equal - 3500K Halogen White - Min. Start Temp. - 20 Deg. - 82 CRI - 70 Lumens per Watt - 12 Month Warranty,2.71,http://www.1000bulbs.com/product/54644/FC23-80102335.html
23 Watt - CFL - 100 W Equal - 3500K Halogen White - 80 CRI - 70 Lumens per Watt - 18 Month Warranty - GCP 220 ,2.79,http://www.1000bulbs.com/product/64224/FC23-MS35OD.html
23 Watt - T2 CFL - 100 W Equal - 2700K Warm White - 80 CRI - 70 Lumens per Watt - 12 Month Warranty - Energy Miser FE-IISB-23W/27K6 reviews,3.1,http://www.1000bulbs.com/product/1582/FC23-FEIISB27K.html
Litetronics Neolite NL-23427 - 23 Watt - T2 CFL - 100 W Equal - 2700K Warm White - 82 CRI - 72 Lumens per Watt - 12 Month Warranty,3.4,http://www.1000bulbs.com/product/3647/FC23-NL23127.html
TCP 801023-50 - 23 Watt - CFL - 100 W Equal - 5000K Full Spectrum - Min. Start Temp. - 20 Deg. - 82 CRI - 65 Lumens per Watt - 12 Month Warranty1 review,3.65,http://www.1000bulbs.com/product/6790/FC23-80102350.html
TCP 801023-27 - 23 Watt - CFL - 100 W Equal - 2700K Warm White - Min. Start Temp. - 20 Deg. - 82 CRI - 70 Lumens per Watt - 12 Month Warranty2 reviews,3.74,http://www.1000bulbs.com/product/6781/FC23-801023.html
Litetronics L-23C27 - 23 Watt - 100 W Equal - 2700K Warm White - CFL - GU24 Base,4.99,http://www.1000bulbs.com/product/3481/FC23-GU2427T3.html
Satco S8206 - 23 Watt - 100 W Equal - 2700K Warm White - CFL - GU24 Base,4.41,http://www.1000bulbs.com/product/31797/SATCO-S8206.html
TCP 4T223 - 23 Watt - T2 CFL - 100 W Equal - 2700K Warm White - Min. Start Temp. -20 Deg. F - 82 CRI - 70 Lumens per Watt - 24 Month Warranty,5.77,http://www.1000bulbs.com/product/7679/FC23-4T223.html
SYLVANIA 29397 - 23 Watt - CFL - 100 W Equal - 3000K Warm White - 82 CRI - 70 Lumens per Watt - 12 Month Warranty,5.89,http://www.1000bulbs.com/product/6234/FC23-29397.html
23 Watt - 100 W Equal - 2700K Warm White - CFL - GU24 Base - GCP 194,5.52,http://www.1000bulbs.com/product/64223/FC23-GU2427T2OD.html
TCP 33123SP50K - 23 Watt - 90 W Equal - 5000K Full Spectrum - CFL - GU24 Base,6.09,http://www.1000bulbs.com/product/2824/FC23-GU2450K.html
TCP 33123SP30K - 23 Watt - 90 W Equal - 3000K Warm White - CFL - GU24 Base1 review,6.09,http://www.1000bulbs.com/product/2825/FC23-GU2430K.html
