Category, Price, Wattage, Name, Source
ENERGY STAR Clothes Washers,498,NA,Whirlpool 3.8 cu. ft. High-Efficiency Top Load Washer in White ENERGY STAR,http://www.homedepot.com/p/Whirlpool-3-8-cu-ft-High-Efficiency-Top-Load-Washer-in-White-ENERGY-STAR-WTW4900BW/204307121
ENERGY STAR Clothes Washers,548,NA,Maytag Bravos X 3.8 cu. ft. High-Efficiency Top Load Washer in White ENERGY STAR,http://www.homedepot.com/p/Maytag-Bravos-X-3-8-cu-ft-High-Efficiency-Top-Load-Washer-in-White-ENERGY-STAR-MVWX500BW/204307114
ENERGY STAR Clothes Washers,548,NA,GE 3.9 cu. ft. DOE Top Load Washer in White ENERGY STAR,http://www.homedepot.com/p/GE-3-9-cu-ft-DOE-Top-Load-Washer-in-White-ENERGY-STAR-GHWN4250DWW/203239841
ENERGY STAR Clothes Washers,548,NA,GE 3.9 cu. ft. High-Efficiency Top Load Washer in White,http://www.homedepot.com/p/GE-3-9-cu-ft-High-Efficiency-Top-Load-Washer-in-White-GTWN4250DWS/203322223
ENERGY STAR Clothes Washers,579,NA,Whirlpool 3.6 cu. ft. High-Efficiency Top Load Washer in White ENERGY STAR,http://www.homedepot.com/p/Whirlpool-3-6-cu-ft-High-Efficiency-Top-Load-Washer-in-White-ENERGY-STAR-WTW4850BW/204307126
ENERGY STAR Clothes Washers,599,NA,LG Electronics 3.6 cu. ft. High-Efficiency 25 in. W Front Control Top Load Washer in White ENERGY STAR,http://www.homedepot.com/p/LG-Electronics-3-6-cu-ft-High-Efficiency-25-in-W-Front-Control-Top-Load-Washer-in-White-ENERGY-STAR-WT1001CW/204377814
ENERGY STAR Clothes Washers,599,NA,Frigidaire Affinity 3.4 cu. ft. High-Efficiency Top Load Washer in White ENERGY STAR,http://www.homedepot.com/p/Frigidaire-Affinity-3-4-cu-ft-High-Efficiency-Top-Load-Washer-in-White-ENERGY-STAR-FAHE1011MW/203591999
ENERGY STAR Clothes Washers,599,NA,Maytag Centennial 3.8 cu. ft. High-Efficiency Top Load Washer in White ENERGY STAR,http://www.homedepot.com/p/Maytag-Centennial-3-8-cu-ft-High-Efficiency-Top-Load-Washer-in-White-ENERGY-STAR-MVWC425BW/204390564
ENERGY STAR Clothes Washers,649,NA,Whirlpool Cabrio 3.8 cu. ft. High-Efficiency Top Load Washer in White ENERGY STAR,http://www.homedepot.com/p/Whirlpool-Cabrio-3-8-cu-ft-High-Efficiency-Top-Load-Washer-in-White-ENERGY-STAR-WTW5500BW/204307122
ENERGY STAR Clothes Washers,674,NA,Whirlpool Cabrio Platinum 4.5 cu. ft. High-Efficiency Top Load Washer in White ENERGY STAR,http://www.homedepot.com/p/Whirlpool-Cabrio-Platinum-4-5-cu-ft-High-Efficiency-Top-Load-Washer-in-White-ENERGY-STAR-WTW8000BW/204307138
ENERGY STAR Clothes Washers,698,NA,GE 4.6 DOE cu. ft. Top Load Washer in White ENERGY STAR,http://www.homedepot.com/p/GE-4-6-DOE-cu-ft-Top-Load-Washer-in-White-ENERGY-STAR-GTWN7450DWW/203559654
ENERGY STAR Clothes Washers,699,NA,GE 4.0 cu. ft. High-Efficiency Top Load Washer in White ENERGY STAR,http://www.homedepot.com/p/GE-4-0-cu-ft-High-Efficiency-Top-Load-Washer-in-White-ENERGY-STAR-GTWN4950FWW/204514584
ENERGY STAR Clothes Washers,699,NA,Frigidaire Affinity 3.4 cu. ft. High-Efficiency Top Load Washer in White,http://www.homedepot.com/p/Frigidaire-Affinity-3-4-cu-ft-High-Efficiency-Top-Load-Washer-in-White-FAHE4044MW/203592004
ENERGY STAR Clothes Washers,699,NA,Frigidaire Affinity 3.26 cu. ft. High-Efficiency Front Load Washer in White ENERGY STAR,http://www.homedepot.com/p/Frigidaire-Affinity-3-26-cu-ft-High-Efficiency-Front-Load-Washer-in-White-ENERGY-STAR-FAFW3801LW/203518258
ENERGY STAR Clothes Washers,699,NA,LG Electronics 4.3 cu. ft. High-Efficiency Front Control Top Load Washer in White ENERGY STAR,http://www.homedepot.com/p/LG-Electronics-4-3-cu-ft-High-Efficiency-Front-Control-Top-Load-Washer-in-White-ENERGY-STAR-WT1101CW/203578178
ENERGY STAR Clothes Washers,699,NA,GE 3.9 DOE cu. ft. Top Load Washer in White ENERGY STAR,http://www.homedepot.com/p/GE-3-9-DOE-cu-ft-Top-Load-Washer-in-White-ENERGY-STAR-GTWN5650FWS/204191640
ENERGY STAR Clothes Washers,699,NA,Samsung 4.0 cu. ft. High-Efficiency Top Load Washer in White ENERGY STAR,http://www.homedepot.com/p/Samsung-4-0-cu-ft-High-Efficiency-Top-Load-Washer-in-White-ENERGY-STAR-WA400PJHDWR/203673143
ENERGY STAR Clothes Washers,748,NA,Whirlpool Duet 4.1 cu. ft. High-Efficiency Front Load Washer in White ENERGY STAR,http://www.homedepot.com/p/Whirlpool-Duet-4-1-cu-ft-High-Efficiency-Front-Load-Washer-in-White-ENERGY-STAR-WFW70HEBW/204102089
ENERGY STAR Clothes Washers,749,NA,Maytag Bravos XL 4.5 cu. ft. High-Efficiency Top Load Washer in White ENERGY STAR,http://www.homedepot.com/p/Maytag-Bravos-XL-4-5-cu-ft-High-Efficiency-Top-Load-Washer-in-White-ENERGY-STAR-MVWB700BW/204307067
ENERGY STAR Clothes Washers,749,NA,Whirlpool 2.0 cu. ft. Front Load Washer in White ENERGY STAR,http://www.homedepot.com/p/Whirlpool-2-0-cu-ft-Front-Load-Washer-in-White-ENERGY-STAR-WFC7500VW/203504713
ENERGY STAR Clothes Washers,749,NA,Maytag 2 cu. ft. High-Efficiency Front Load Washer in White ENERGY STAR,http://www.homedepot.com/p/Maytag-2-cu-ft-High-Efficiency-Front-Load-Washer-in-White-ENERGY-STAR-MHWC7500YW/203367275
ENERGY STAR Clothes Washers,796,NA,LG Electronics 4.7 cu. ft. High-Efficiency Top Load Washer in White ENERGY STAR,http://www.homedepot.com/p/LG-Electronics-4-7-cu-ft-High-Efficiency-Top-Load-Washer-in-White-ENERGY-STAR-WT5070CW/203220056
ENERGY STAR Clothes Washers,798,NA,Whirlpool Cabrio Platinum 4.8 cu. ft. High-Efficiency Top Load Washer in White ENERGY STAR,http://www.homedepot.com/p/Whirlpool-Cabrio-Platinum-4-8-cu-ft-High-Efficiency-Top-Load-Washer-in-White-ENERGY-STAR-WTW8500BW/204307132
ENERGY STAR Dishwashers,239,NA,Danby 24 in. Countertop Dishwasher in White,http://www.homedepot.com/p/Danby-24-in-Countertop-Dishwasher-in-White-DDW611WLED/203169742
ENERGY STAR Dishwashers,299,NA,Amana Front Control Dishwasher in White,http://www.homedepot.com/p/Amana-Front-Control-Dishwasher-in-White-ADB1100AWW/204089890
ENERGY STAR Dishwashers,319,NA,Magic Chef Countertop Dishwasher in White with 6 Place Settings Capacity,http://www.homedepot.com/p/Magic-Chef-Countertop-Dishwasher-in-White-with-6-Place-Settings-Capacity-MCSCD6W3/203869698
ENERGY STAR Dishwashers,328,NA,Frigidaire 24 in. Front Control Dishwasher in Black,http://www.homedepot.com/p/Frigidaire-24-in-Front-Control-Dishwasher-in-Black-FFBD2411NB/203516474
ENERGY STAR Dishwashers,349,NA,Whirlpool Front Control Dishwasher in Biscuit,http://www.homedepot.com/p/Whirlpool-Front-Control-Dishwasher-in-Biscuit-WDF310PAAT/203475739
ENERGY STAR Dishwashers,398,NA,Frigidaire Gallery 24 in. Built-In Front Control Dishwasher in Black with Blade Spray Arm,http://www.homedepot.com/p/Frigidaire-Gallery-24-in-Built-In-Front-Control-Dishwasher-in-Black-with-Blade-Spray-Arm-FGBD2438PB/204152977
ENERGY STAR Dishwashers,399,NA,Whirlpool Front Control Dishwasher in Black,http://www.homedepot.com/p/Whirlpool-Front-Control-Dishwasher-in-Black-WDF510PAYB/203482442
ENERGY STAR Dishwashers,399,NA,GE 24 in. Front Control Dishwasher in White,http://www.homedepot.com/p/GE-24-in-Front-Control-Dishwasher-in-White-GDF510PGDWW/203488899
ENERGY STAR Dishwashers,429,NA,GE Front Control Dishwasher in Black,http://www.homedepot.com/p/GE-Front-Control-Dishwasher-in-Black-GSD4000DBB/203229598
ENERGY STAR Dishwashers,448,NA,Frigidaire Gallery 24 in. Front Control Built-In Dishwasher with BladeSpray in Stainless Steel,http://www.homedepot.com/p/Frigidaire-Gallery-24-in-Front-Control-Built-In-Dishwasher-with-BladeSpray-in-Stainless-Steel-FGBD2438PF/204151174
ENERGY STAR Dishwashers,449,NA,Frigidaire Gallery 24 in. Built-In Front Control Dishwasher in Stainless Steel,http://www.homedepot.com/p/Frigidaire-Gallery-24-in-Built-In-Front-Control-Dishwasher-in-Stainless-Steel-FGBD2434PF/204153051
ENERGY STAR Dishwashers,449,NA,SPT 18 in. Front Control Portable Dishwasher in White with 8 Place Settings Capacity,http://www.homedepot.com/p/SPT-18-in-Front-Control-Portable-Dishwasher-in-White-with-8-Place-Settings-Capacity-SD-9241W/204627249
ENERGY STAR Dishwashers,449,NA,GE 24 in. Front Control Dishwasher in Bisque with Steam PreWash,http://www.homedepot.com/p/GE-24-in-Front-Control-Dishwasher-in-Bisque-with-Steam-PreWash-GDF520PGDCC/203604517
ENERGY STAR Dishwashers,449,NA,Whirlpool Front Control Dishwasher in White,http://www.homedepot.com/p/Whirlpool-Front-Control-Dishwasher-in-White-WDF530PAYW/203491422
ENERGY STAR Dishwashers,449,NA,Danby 18 in. Front Control Dishwasher in White with Stainless Steel Tub,http://www.homedepot.com/p/Danby-18-in-Front-Control-Dishwasher-in-White-with-Stainless-Steel-Tub-DDW1809W-1/204584720
ENERGY STAR Dishwashers,469,NA,Danby 18 in. Portable Dishwasher in White with 8 Place Setting Capacity,http://www.homedepot.com/p/Danby-18-in-Portable-Dishwasher-in-White-with-8-Place-Setting-Capacity-DDW1899WP-1/204584807
ENERGY STAR Dishwashers,479,NA,Danby 18 in. Front Control Dishwasher in Stainless Steel with Stainless Steel Tub,http://www.homedepot.com/p/Danby-18-in-Front-Control-Dishwasher-in-Stainless-Steel-with-Stainless-Steel-Tub-DDW1899BLS-1/204584791
ENERGY STAR Dishwashers,479,NA,Maytag JetClean Plus Front Control Dishwasher in White with Steam Cleaning,http://www.homedepot.com/p/Maytag-JetClean-Plus-Front-Control-Dishwasher-in-White-with-Steam-Cleaning-MDBH949PAW/203249945
