Category, Price, Wattage, Name, Source
ENERGY STAR Clothes Washers,448.2,NA,Whirlpool 3.8 cu. ft. High-Efficiency Top Load Washer in White ENERGY STAR,http://www.homedepot.com/p/Whirlpool-3-8-cu-ft-High-Efficiency-Top-Load-Washer-in-White-ENERGY-STAR-WTW4900BW/204307121
ENERGY STAR Clothes Washers,493.2,NA,Samsung 4.0 cu. ft. High-Efficiency Top Load Washer in White ENERGY STAR,http://www.homedepot.com/p/Samsung-4-0-cu-ft-High-Efficiency-Top-Load-Washer-in-White-ENERGY-STAR-WA400PJHDWR/203673143
ENERGY STAR Clothes Washers,493.2,NA,GE 3.9 cu. ft. DOE Top Load Washer in White ENERGY STAR,http://www.homedepot.com/p/GE-3-9-cu-ft-DOE-Top-Load-Washer-in-White-ENERGY-STAR-GHWN4250DWW/203239841
ENERGY STAR Clothes Washers,493.2,NA,GE 3.9 cu. ft. High-Efficiency Top Load Washer in White,http://www.homedepot.com/p/GE-3-9-cu-ft-High-Efficiency-Top-Load-Washer-in-White-GTWN4250DWS/203322223
ENERGY STAR Clothes Washers,521.1,NA,Whirlpool 3.6 cu. ft. High-Efficiency Top Load Washer in White ENERGY STAR,http://www.homedepot.com/p/Whirlpool-3-6-cu-ft-High-Efficiency-Top-Load-Washer-in-White-ENERGY-STAR-WTW4850BW/204307126
ENERGY STAR Clothes Washers,539.1,NA,Frigidaire Affinity 3.4 cu. ft. High-Efficiency Top Load Washer in White ENERGY STAR,http://www.homedepot.com/p/Frigidaire-Affinity-3-4-cu-ft-High-Efficiency-Top-Load-Washer-in-White-ENERGY-STAR-FAHE1011MW/203591999
ENERGY STAR Clothes Washers,539.1,NA,Maytag Centennial 3.8 cu. ft. High-Efficiency Top Load Washer in White ENERGY STAR,http://www.homedepot.com/p/Maytag-Centennial-3-8-cu-ft-High-Efficiency-Top-Load-Washer-in-White-ENERGY-STAR-MVWC425BW/204390564
ENERGY STAR Clothes Washers,539.1,NA,LG Electronics 3.6 cu. ft. High-Efficiency 25 in. W Front Control Top Load Washer in White ENERGY STAR,http://www.homedepot.com/p/LG-Electronics-3-6-cu-ft-High-Efficiency-25-in-W-Front-Control-Top-Load-Washer-in-White-ENERGY-STAR-WT1001CW/204377814
ENERGY STAR Clothes Washers,584.1,NA,Maytag Bravos X 3.8 cu. ft. High-Efficiency Top Load Washer in White ENERGY STAR,http://www.homedepot.com/p/Maytag-Bravos-X-3-8-cu-ft-High-Efficiency-Top-Load-Washer-in-White-ENERGY-STAR-MVWX500BW/204307114
ENERGY STAR Clothes Washers,584.1,NA,Whirlpool Cabrio 3.8 cu. ft. High-Efficiency Top Load Washer in White ENERGY STAR,http://www.homedepot.com/p/Whirlpool-Cabrio-3-8-cu-ft-High-Efficiency-Top-Load-Washer-in-White-ENERGY-STAR-WTW5500BW/204307122
ENERGY STAR Clothes Washers,601.2,NA,Frigidaire Affinity 3.26 cu. ft. High-Efficiency Front Load Washer in White ENERGY STAR,http://www.homedepot.com/p/Frigidaire-Affinity-3-26-cu-ft-High-Efficiency-Front-Load-Washer-in-White-ENERGY-STAR-FAFW3801LW/203518258
ENERGY STAR Clothes Washers,628.2,NA,GE 4.6 DOE cu. ft. Top Load Washer in White ENERGY STAR,http://www.homedepot.com/p/GE-4-6-DOE-cu-ft-Top-Load-Washer-in-White-ENERGY-STAR-GTWN7450DWW/203559654
ENERGY STAR Clothes Washers,629.1,NA,Samsung 4.5 cu. ft. Top Load Washer in White ENERGY STAR,http://www.homedepot.com/p/Samsung-4-5-cu-ft-Top-Load-Washer-in-White-ENERGY-STAR-WA45H7000AW/204838445
ENERGY STAR Clothes Washers,629.1,NA,GE 3.9 DOE cu. ft. Top Load Washer in White ENERGY STAR,http://www.homedepot.com/p/GE-3-9-DOE-cu-ft-Top-Load-Washer-in-White-ENERGY-STAR-GTWN5650FWS/204191640
ENERGY STAR Clothes Washers,629.1,NA,LG Electronics 4.3 cu. ft. High-Efficiency Front Control Top Load Washer in White ENERGY STAR,http://www.homedepot.com/p/LG-Electronics-4-3-cu-ft-High-Efficiency-Front-Control-Top-Load-Washer-in-White-ENERGY-STAR-WT1101CW/203578178
ENERGY STAR Clothes Washers,629.1,NA,Frigidaire Affinity 3.4 cu. ft. High-Efficiency Top Load Washer in White,http://www.homedepot.com/p/Frigidaire-Affinity-3-4-cu-ft-High-Efficiency-Top-Load-Washer-in-White-FAHE4044MW/203592004
ENERGY STAR Clothes Washers,629.1,NA,GE 4.0 cu. ft. High-Efficiency Top Load Washer in White ENERGY STAR,http://www.homedepot.com/p/GE-4-0-cu-ft-High-Efficiency-Top-Load-Washer-in-White-ENERGY-STAR-GTWN4950FWW/204514584
ENERGY STAR Clothes Washers,646.2,NA,Samsung 4.5 cu. ft. High-Efficiency Top Load Washer Energy Star,http://www.homedepot.com/p/Samsung-4-5-cu-ft-High-Efficiency-Top-Load-Washer-Energy-Star-WA45H7200AW/205127450
ENERGY STAR Clothes Washers,646.2,NA,LG Electronics 4.0 DOE cu. ft. High-Efficiency Front Load Washer in White ENERGY STAR,http://www.homedepot.com/p/LG-Electronics-4-0-DOE-cu-ft-High-Efficiency-Front-Load-Washer-in-White-ENERGY-STAR-WM3050CW/204740218
ENERGY STAR Clothes Washers,674.1,NA,Maytag Bravos XL 4.5 cu. ft. High-Efficiency Top Load Washer in White ENERGY STAR,http://www.homedepot.com/p/Maytag-Bravos-XL-4-5-cu-ft-High-Efficiency-Top-Load-Washer-in-White-ENERGY-STAR-MVWB700BW/204307067
ENERGY STAR Clothes Washers,674.1,NA,Maytag 2 cu. ft. High-Efficiency Front Load Washer in White ENERGY STAR,http://www.homedepot.com/p/Maytag-2-cu-ft-High-Efficiency-Front-Load-Washer-in-White-ENERGY-STAR-MHWC7500YW/203367275
ENERGY STAR Clothes Washers,674.1,NA,Whirlpool Cabrio Platinum 4.5 cu. ft. High-Efficiency Top Load Washer in White ENERGY STAR,http://www.homedepot.com/p/Whirlpool-Cabrio-Platinum-4-5-cu-ft-High-Efficiency-Top-Load-Washer-in-White-ENERGY-STAR-WTW8000BW/204307138
ENERGY STAR Clothes Washers,674.1,NA,Whirlpool 2.0 cu. ft. Front Load Washer in White ENERGY STAR,http://www.homedepot.com/p/Whirlpool-2-0-cu-ft-Front-Load-Washer-in-White-ENERGY-STAR-WFC7500VW/203504713
ENERGY STAR Dishwashers,249,NA,Danby 24 in. Countertop Dishwasher in White,http://www.homedepot.com/p/Danby-24-in-Countertop-Dishwasher-in-White-DDW611WLED/203169742
ENERGY STAR Dishwashers,299,NA,Amana Front Control Dishwasher in Black,http://www.homedepot.com/p/Amana-Front-Control-Dishwasher-in-Black-ADB1100AWB/204089741
