Category, Price, Wattage, Name, Source
ENERGY STAR Clothes Washers,99.99,NA,StoreBound Laundry Pod Non-Electrical Compact Portable Washer in White,http://www.homedepot.com/p/StoreBound-Laundry-Pod-Non-Electrical-Compact-Portable-Washer-in-White-LP001WHT/205034854
ENERGY STAR Clothes Washers,99.99,NA,StoreBound Laundry Pod Non-Electrical Compact Portable Washer in Green,http://www.homedepot.com/p/StoreBound-Laundry-Pod-Non-Electrical-Compact-Portable-Washer-in-Green-LP001GRN/205034847
ENERGY STAR Clothes Washers,299,NA,Magic Chef Compact 1.6 cu. ft. Top Load Washer with Stainless Steel Tub,http://www.homedepot.com/p/Magic-Chef-Compact-1-6-cu-ft-Top-Load-Washer-with-Stainless-Steel-Tub-MCSTCW16W2/203869668
ENERGY STAR Clothes Washers,299,NA,Haier 1.46 cu. ft. Pulsator Washing Machine,http://www.homedepot.com/p/Haier-1-46-cu-ft-Pulsator-Washing-Machine-HLP23E/202665764
ENERGY STAR Clothes Washers,299,NA,Admiral 3.4 cu. ft. Top Load Washer in White,http://www.homedepot.com/p/Admiral-3-4-cu-ft-Top-Load-Washer-in-White-ATW4675YQ/203547519
ENERGY STAR Clothes Washers,349,NA,Magic Chef Compact 2.1 cu. ft. Top Load Washer with Stainless Steel Tub,http://www.homedepot.com/p/Magic-Chef-Compact-2-1-cu-ft-Top-Load-Washer-with-Stainless-Steel-Tub-MCSTCW21W2/203869671
ENERGY STAR Clothes Washers,358.2,NA,Hotpoint 3.7 DOE cu. ft. Top Load Washer in White,http://www.homedepot.com/p/Hotpoint-3-7-DOE-cu-ft-Top-Load-Washer-in-White-HTWP1400FWW/204077100
ENERGY STAR Clothes Washers,378,NA,Whirlpool 3.4 cu. ft. Top Load Washer in White,http://www.homedepot.com/p/Whirlpool-3-4-cu-ft-Top-Load-Washer-in-White-WTW4800XQ/203003917
ENERGY STAR Clothes Washers,379,NA,Danby 1.7 cu. ft. Portable Top Load Washer in White,http://www.homedepot.com/p/Danby-1-7-cu-ft-Portable-Top-Load-Washer-in-White-DWM17WDB/203804356
ENERGY STAR Clothes Washers,389,NA,Haier 2.3 cu. ft. Compact Portable Washer with Stainless Steel Tub,http://www.homedepot.com/p/Haier-2-3-cu-ft-Compact-Portable-Washer-with-Stainless-Steel-Tub-HLP28E/205139202
ENERGY STAR Clothes Washers,403.2,NA,Whirlpool 3.6 cu. ft. Top Load Washer in White,http://www.homedepot.com/p/Whirlpool-3-6-cu-ft-Top-Load-Washer-in-White-WTW4800BQ/204307117
ENERGY STAR Clothes Washers,404.1,NA,Hotpoint 3.5 cu. ft. DOE Capacity ExtrAction Ribbed Basket Washer,http://www.homedepot.com/p/Hotpoint-3-5-cu-ft-DOE-Capacity-ExtrAction-Ribbed-Basket-Washer-HTWP1200DWW/203229582
ENERGY STAR Clothes Washers,404.1,NA,Hotpoint 3.5 DOE cu. ft. Top Load Washer in White,http://www.homedepot.com/p/Hotpoint-3-5-DOE-cu-ft-Top-Load-Washer-in-White-HSWP1000MWW/203517068
ENERGY STAR Clothes Washers,448.2,NA,GE 3.7 DOE cu. ft. Top Load Washer in White,http://www.homedepot.com/p/GE-3-7-DOE-cu-ft-Top-Load-Washer-in-White-GTWP2000FWW/204077105
ENERGY STAR Clothes Washers,449,NA,Admiral 3.6 cu. ft. Top Load Washer in White,http://www.homedepot.com/p/Admiral-3-6-cu-ft-Top-Load-Washer-in-White-ATW4676BQ/204794053
ENERGY STAR Clothes Washers,449.1,NA,Amana 3.6 cu. ft. Top Load Washer in White,http://www.homedepot.com/p/Amana-3-6-cu-ft-Top-Load-Washer-in-White-NTW4701BQ/204986286
