Category, Price, Energy Star, Name, Source
ENERGY STAR Television,179.99,true,Insignia™ - 32" Class (31-1/2" Diag.) - LED - 720p - 60Hz - HDTV,http://www.bestbuy.com/site/32-class-31-1-2-diag--led-720p-60hz-hdtv/2889454.p;jsessionid=23AED02978DED42AB9EF48B8354DF2AB.bbolsp-app04-194?id=1219081255894&skuId=2889454&st=categoryid$abcat0101001&cp=1&lp=2
ENERGY STAR Television,179.99,true,Insignia™ - 28" Class (27-1/2" Diag.) - LED - 720p - 60Hz - HDTV,http://www.bestbuy.com/site/28-class-27-1-2-diag--led-720p-60hz-hdtv/7376049.p;jsessionid=23AED02978DED42AB9EF48B8354DF2AB.bbolsp-app04-194?id=1218841463399&skuId=7376049&st=categoryid$abcat0101001&cp=1&lp=3
ENERGY STAR Television,179.99,false,Westinghouse - 32" Class (31-1/2" Diag.) - LED - 720p - 60Hz - HDTV,http://www.bestbuy.com/site/32-class-31-1-2-diag--led-720p-60hz-hdtv/5420063.p;jsessionid=23AED02978DED42AB9EF48B8354DF2AB.bbolsp-app04-194?id=1219127070705&skuId=5420063&st=categoryid$abcat0101001&cp=1&lp=4
ENERGY STAR Television,179.99,false,Insignia™ - 32" Class (31-1/2" Diag.) - LED - 720p - 60Hz - HDTV,http://www.bestbuy.com/site/32-class-31-1-2-diag--led-720p-60hz-hdtv/3356036.p;jsessionid=23AED02978DED42AB9EF48B8354DF2AB.bbolsp-app04-194?id=1219091131759&skuId=3356036&st=categoryid$abcat0101001&cp=1&lp=5
ENERGY STAR Television,179.99,false,RCA - 32" Class (31-1/2" Diag.) - LED - 720p - 60Hz - HDTV,http://www.bestbuy.com/site/32-class-31-1-2-diag--led-720p-60hz-hdtv/1261833.p;jsessionid=23AED02978DED42AB9EF48B8354DF2AB.bbolsp-app04-194?id=1219047431336&skuId=1261833&st=categoryid$abcat0101001&cp=1&lp=6
ENERGY STAR Television,189.99,false,Seiki - 28" Class (27-1/2" Diag.) - LED - 720p - 60Hz - HDTV,http://www.bestbuy.com/site/28-class-27-1-2-diag--led-720p-60hz-hdtv/5562393.p;jsessionid=23AED02978DED42AB9EF48B8354DF2AB.bbolsp-app04-194?id=1219139429275&skuId=5562393&st=categoryid$abcat0101001&cp=1&lp=7
ENERGY STAR Television,189.99,false,Seiki - 32" Class (31-1/2" Diag.) - LED - 720p - 60Hz - HDTV,http://www.bestbuy.com/site/32-class-31-1-2-diag--led-720p-60hz-hdtv/1310479319.p;jsessionid=23AED02978DED42AB9EF48B8354DF2AB.bbolsp-app04-194?id=mp1310479319&skuId=1310479319&st=categoryid$abcat0101001&cp=1&lp=8#tab=buyingOptions
ENERGY STAR Television,189.99,true,Sceptre - 32" Class (32" Diag.) - LCD - 720p - 60Hz - HDTV,http://www.bestbuy.com/site/32-class-32-diag--lcd-720p-60hz-hdtv/4472017.p;jsessionid=23AED02978DED42AB9EF48B8354DF2AB.bbolsp-app04-194?id=1219098339433&skuId=4472017&st=categoryid$abcat0101001&cp=1&lp=9
ENERGY STAR Television,189.99,false,Insignia™ - 28" Class (27-1/2" Diag.) - LED - 720p - 60Hz - HDTV DVD Combo,http://www.bestbuy.com/site/28-class-27-1-2-diag--led-720p-60hz-hdtv-dvd-combo/2127006.p;jsessionid=23AED02978DED42AB9EF48B8354DF2AB.bbolsp-app04-194?id=1219068857027&skuId=2127006&st=categoryid$abcat0101001&cp=1&lp=10
ENERGY STAR Television,192.98,false,RCA - 29" Class (29" Diag.) - LED - 720p - 60Hz - HDTV DVD Combo,http://www.bestbuy.com/site/29-class-29-diag--led-720p-60hz-hdtv-dvd-combo/8918126.p;jsessionid=23AED02978DED42AB9EF48B8354DF2AB.bbolsp-app04-194?id=1218947010954&skuId=8918126&st=categoryid$abcat0101001&cp=1&lp=11
ENERGY STAR Television,193.49,true,VIZIO - 29" Class (29" Diag.) - LED - 720p - 60Hz - HDTV,http://www.bestbuy.com/site/29-class-29-diag--led-720p-60hz-hdtv/1305724387.p;jsessionid=23AED02978DED42AB9EF48B8354DF2AB.bbolsp-app04-194?id=mp1305724387&skuId=1305724387&st=categoryid$abcat0101001&cp=1&lp=12#tab=buyingOptions
