Category, Price, Wattage, Name, Source
ENERGY STAR CFL Bulbs  - 9-11 W,1.24,9,EcoSmart 40W Equivalent Soft White (3500K) Twister CFL Light Bulb (4-Pack),http://www.homedepot.com/p/EcoSmart-40W-Equivalent-Soft-White-3500K-Twister-CFL-Light-Bulb-4-Pack-ES5M8094/100686987
ENERGY STAR CFL Bulbs  - 9-11 W,2.48,9,EcoSmart 40W Equivalent Daylight (5000k) Twister CFL Light Bulb (2-Pack),http://www.homedepot.com/p/EcoSmart-40W-Equivalent-Daylight-5000k-Twister-CFL-Light-Bulb-2-Pack-ES5M809250K/100687007
ENERGY STAR CFL Bulbs  - 9-11 W,2.48,9,EcoSmart 40W Equivalent Bright White (3500k) Twister CFL Light Bulb (2-Pack),http://www.homedepot.com/p/EcoSmart-40W-Equivalent-Bright-White-3500k-Twister-CFL-Light-Bulb-2-Pack-ES5M809235K/100687005
ENERGY STAR CFL Bulbs  - 9-11 W,5.74,9,Philips 40W Equivalent Soft White (2700K) Spiral A-Line CFL Light Bulb (E*),http://www.homedepot.com/p/Philips-40W-Equivalent-Soft-White-2700K-Spiral-A-Line-CFL-Light-Bulb-E-413988/203349660
ENERGY STAR CFL Bulbs  - 9-11 W,1.46,9,EcoSmart 40W Equivalent Soft White (2700K) Spiral CFL Light Bulb (4-Pack),http://www.homedepot.com/p/EcoSmart-40W-Equivalent-Soft-White-2700K-Spiral-CFL-Light-Bulb-4-Pack-ES5M094RS/202735240
ENERGY STAR CFL Bulbs  - 9-11 W,1.74,9,EcoSmart 60W Equivalent Soft White (2700K) Twister CFL Light Bulb (4-Pack),http://www.homedepot.com/p/EcoSmart-60W-Equivalent-Soft-White-2700K-Twister-CFL-Light-Bulb-4-Pack-ES5M8144/100687000
ENERGY STAR CFL Bulbs  - 9-11 W,2.24,9,EcoSmart 60W Equivalent Daylight (5000K) Twister CFL Light Bulb (4-Pack),http://www.homedepot.com/p/EcoSmart-60W-Equivalent-Daylight-5000K-Twister-CFL-Light-Bulb-4-Pack-ES5M814450K/100687001
ENERGY STAR CFL Bulbs  - 9-11 W,2.00,9,Philips 40W Equivalent Soft White (2700K) Spiral CFL Light Bulb (4-Pack) (E*),http://www.homedepot.com/p/Philips-40W-Equivalent-Soft-White-2700K-Spiral-CFL-Light-Bulb-4-Pack-E-417063/202826485
ENERGY STAR CFL Bulbs  - 9-11 W,4.38,9,Philips 40W Equivalent Soft White (2700K) A19 A-Line Spiral CFL Light Bulb (2-Pack) (E*),http://www.homedepot.com/p/Philips-40W-Equivalent-Soft-White-2700K-A19-A-Line-Spiral-CFL-Light-Bulb-2-Pack-E-415042/203001436
ENERGY STAR CFL Bulbs  - 9-11 W,4.49,9,EcoSmart 40W Equivalent Soft White (2700K) Fan CFL Light Bulb (2-Pack),http://www.homedepot.com/p/EcoSmart-40W-Equivalent-Soft-White-2700K-Fan-CFL-Light-Bulb-2-Pack-ES5A8092/100677487
ENERGY STAR CFL Bulbs  - 9-11 W,2.24,9,EcoSmart 60W Equivalent Bright White (2700K) Twister CFL Light Bulb (4-Pack),http://www.homedepot.com/p/EcoSmart-60W-Equivalent-Bright-White-2700K-Twister-CFL-Light-Bulb-4-Pack-ES5M814435K/100686988
ENERGY STAR CFL Bulbs  - 9-11 W,4.99,9,EcoSmart 60W Equivalent Bright White (3500k) A19 CFL Light Bulb (2-Pack),http://www.homedepot.com/p/EcoSmart-60W-Equivalent-Bright-White-3500k-A19-CFL-Light-Bulb-2-Pack-ES5A814235K/100687006
ENERGY STAR CFL Bulbs  - 9-11 W,5.49,9,EcoSmart 60W Equivalent Soft White (2700K) Twister CFL Light Bulb (2-Pack),http://www.homedepot.com/p/EcoSmart-60W-Equivalent-Soft-White-2700K-Twister-CFL-Light-Bulb-2-Pack-ES5M814C2/100686985
ENERGY STAR CFL Bulbs  - 9-11 W,5.49,9,EcoSmart 40W Equivalent Soft White (2700K) G25 CFL Light Bulb (2-Pack),http://www.homedepot.com/p/EcoSmart-40W-Equivalent-Soft-White-2700K-G25-CFL-Light-Bulb-2-Pack-ES5G8092/100677483
ENERGY STAR CFL Bulbs  - 9-11 W,5.99,9,EcoSmart 60W Equivalent Daylight (5000k) Twister CFL Light Bulb (2-Pack),http://www.homedepot.com/p/EcoSmart-60W-Equivalent-Daylight-5000k-Twister-CFL-Light-Bulb-2-Pack-ES5M814C250K/202044782
ENERGY STAR CFL Bulbs  - 9-11 W,7.99,9,EcoSmart 60W Equivalent Soft White (2700k) Spiral Dimmable CFL Light Bulb (2-Pack),http://www.homedepot.com/p/EcoSmart-60W-Equivalent-Soft-White-2700k-Spiral-Dimmable-CFL-Light-Bulb-2-Pack-ES5M814DIM2/202044783
ENERGY STAR CFL Bulbs  - 9-11 W,1.37,9,Feit Electric 60W Equivalent Soft White (2700K) Spiral CFL Light Bulb (12-Pack),http://www.homedepot.com/p/Feit-Electric-60W-Equivalent-Soft-White-2700K-Spiral-CFL-Light-Bulb-12-Pack-ESL13T-12/202306302
ENERGY STAR CFL Bulbs  - 9-11 W,1.41,9,TCP 40W Equivalent Soft White (2700K) Spiral CFL Light Bulb (12-Pack),http://www.homedepot.com/p/TCP-40W-Equivalent-Soft-White-2700K-Spiral-CFL-Light-Bulb-12-Pack-5M80912/100676711
ENERGY STAR CFL Bulbs  - 9-11 W,4.97,10,GE Reveal 10-Watt (40W) Spiral Compact Fluorescent Light Bulb (E)*,http://www.homedepot.com/p/GE-Reveal-10-Watt-40W-Spiral-Compact-Fluorescent-Light-Bulb-E-FLE10HT3-2-RVLCD/202514270
ENERGY STAR CFL Bulbs  - 9-11 W,2.00,10,Philips 60W Equivalent Soft White (2700K) A-Line Spiral CFL Light Bulb (4-Pack) (E*),http://www.homedepot.com/p/Philips-60W-Equivalent-Soft-White-2700K-A-Line-Spiral-CFL-Light-Bulb-4-Pack-E-417071/202826746
ENERGY STAR CFL Bulbs  - 9-11 W,2.24,10,Philips 60W Equivalent Daylight (6500K) T2 Spiral CFL Light Bulb (E*) (4-Pack),http://www.homedepot.com/p/Philips-60W-Equivalent-Daylight-6500K-T2-Spiral-CFL-Light-Bulb-E-4-Pack-420091/203248911
ENERGY STAR CFL Bulbs  - 9-11 W,11.97,10,Philips 100W Equivalent Soft White (2700K) T2 Spiral CFL Light Bulb (E*),http://www.homedepot.com/p/Philips-100W-Equivalent-Soft-White-2700K-T2-Spiral-CFL-Light-Bulb-E-417097/202827179
ENERGY STAR CFL Bulbs  - 9-11 W,2.99,10,Philips 75W Equivalent Soft White (2700K) T2 Spiral CFL Light Bulb (4-Pack) (E*),http://www.homedepot.com/p/Philips-75W-Equivalent-Soft-White-2700K-T2-Spiral-CFL-Light-Bulb-4-Pack-E-417089/202827129
ENERGY STAR CFL Bulbs  - 9-11 W,2.00,10,Philips 60W Equivalent Soft White (2700K) T2 Spiral CFL Light Bulb (8-Pack) (E*),http://www.homedepot.com/p/Philips-60W-Equivalent-Soft-White-2700K-T2-Spiral-CFL-Light-Bulb-8-Pack-E-171780/203320818
ENERGY STAR CFL Bulbs  - 9-11 W,2.87,10,Philips 75W Equivalent Soft White (2700K) T2 Spiral CFL Light Bulb (8-Pack) (E*),http://www.homedepot.com/p/Philips-75W-Equivalent-Soft-White-2700K-T2-Spiral-CFL-Light-Bulb-8-Pack-E-171790/203320819
