Category, Price, Wattage, Name, Source
ENERGY STAR CFL Bulbs ,7.97,1,Philips 75-Watt Halogen T4 Mini-Candelabra Base Sconce Decorative  Light Bulb,http://www.homedepot.com/p/Philips-75-Watt-Halogen-T4-Mini-Candelabra-Base-Sconce-Decorative-Light-Bulb-415562/202794870
ENERGY STAR CFL Bulbs ,3.29,1,Philips 25-Watt Halogen Energy Saver F10.5 Clear Candle Dimmable Decorative Light Bulb (2-Pack),http://www.homedepot.com/p/Philips-25-Watt-Halogen-Energy-Saver-F10-5-Clear-Candle-Dimmable-Decorative-Light-Bulb-2-Pack-144535/100476618
ENERGY STAR CFL Bulbs ,7.97,1,Philips 150-Watt Halogen T4 Mini-Candelabra Base Sconce Decorative Dimmable Light Bulb,http://www.homedepot.com/p/Philips-150-Watt-Halogen-T4-Mini-Candelabra-Base-Sconce-Decorative-Dimmable-Light-Bulb-416347/202800762
ENERGY STAR CFL Bulbs ,3.29,1,Philips 40-Watt Halogen Energy Saver F10.5C Candelabra Base Dimmable Decorative Light Bulb (2-Pack),http://www.homedepot.com/p/Philips-40-Watt-Halogen-Energy-Saver-F10-5C-Candelabra-Base-Dimmable-Decorative-Light-Bulb-2-Pack-144519/100476616
ENERGY STAR CFL Bulbs ,3.29,1,Philips 40-Watt Halogen F10.5 Clear Decorative  Light Bulb (2-Pack),http://www.homedepot.com/p/Philips-40-Watt-Halogen-F10-5-Clear-Decorative-Light-Bulb-2-Pack-144543/100476619
ENERGY STAR CFL Bulbs ,3.29,1,Philips 25-Watt Halogen Energy Saver F10.5C Clear Candelabra Base Dimmable Candle Decorative Light Bulb (2-Pack),http://www.homedepot.com/p/Philips-25-Watt-Halogen-Energy-Saver-F10-5C-Clear-Candelabra-Base-Dimmable-Candle-Decorative-Light-Bulb-2-Pack-144501/100476615
ENERGY STAR CFL Bulbs ,4.74,1,Philips EcoVantage 40-Watt Halogen G25 White Decorative Globe Light Bulb (12-Pack),http://www.homedepot.com/p/Philips-EcoVantage-40-Watt-Halogen-G25-White-Decorative-Globe-Light-Bulb-12-Pack-420851/203532858
ENERGY STAR CFL Bulbs ,4.74,1,Philips EcoVantage 40-Watt Halogen G25 Clear Decorative Globe Light Bulb (12-Pack),http://www.homedepot.com/p/Philips-EcoVantage-40-Watt-Halogen-G25-Clear-Decorative-Globe-Light-Bulb-12-Pack-420844/203532855
ENERGY STAR CFL Bulbs ,2.50,1,Philips EcoVantage 25-Watt Halogen G16.5 White Globe Light Bulb (2-Pack),http://www.homedepot.com/p/Philips-EcoVantage-25-Watt-Halogen-G16-5-White-Globe-Light-Bulb-2-Pack-420877/203231706
ENERGY STAR CFL Bulbs ,2.50,1,Philips EcoVantage 25-Watt Halogen G16.5 Clear Globe Light Bulb (2-Pack),http://www.homedepot.com/p/Philips-EcoVantage-25-Watt-Halogen-G16-5-Clear-Globe-Light-Bulb-2-Pack-420869/203231705
