Category, Price, Wattage, Name, Source,,
ENERGY STAR CFL Bulbs  - 13-15 W,5.99,1,EcoSmart 60W Equivalent Daylight (5000k) Twister CFL Light Bulb (2-Pack),http://www.homedepot.com/p/EcoSmart-60W-Equivalent-Daylight-5000k-Twister-CFL-Light-Bulb-2-Pack-ES5M814C250K/202044782,,
ENERGY STAR CFL Bulbs  - 13-15 W,5.49,1,EcoSmart 60W Equivalent Soft White (2700K) Twister CFL Light Bulb (2-Pack),http://www.homedepot.com/p/EcoSmart-60W-Equivalent-Soft-White-2700K-Twister-CFL-Light-Bulb-2-Pack-ES5M814C2/100686985,,
ENERGY STAR CFL Bulbs  - 9-11 W,4.49,1,EcoSmart 40W Equivalent Soft White (2700K) G18 CFL Light Bulb (2-Pack),http://www.homedepot.com/p/EcoSmart-40W-Equivalent-Soft-White-2700K-G18-CFL-Light-Bulb-2-Pack-ES5G1809C2/100686996,,
ENERGY STAR CFL Bulbs  - 9-11 W,3.99,1,EcoSmart 40W Equivalent Daylight (5000K) B10 CFL Light Bulb (3-Pack),http://www.homedepot.com/p/EcoSmart-40W-Equivalent-Daylight-5000K-B10-CFL-Light-Bulb-3-Pack-ES5D807C350K/202275132,,
ENERGY STAR CFL Bulbs  - 9-11 W,3.16,1,EcoSmart 40W Equivalent Daylight (5000k) Deco CFL Light Bulb (6-Pack),http://www.homedepot.com/p/EcoSmart-40W-Equivalent-Daylight-5000k-Deco-CFL-Light-Bulb-6-Pack-ES9D807C350KYOW/203878216,,
ENERGY STAR CFL Bulbs  - 13-15 W,5.76,1,Feit Electric 60W Equivalent Soft White (2700K) Candelabra Base Spiral CFL Light Bulb (2-Pack),http://www.homedepot.com/p/Feit-Electric-60W-Equivalent-Soft-White-2700K-Candelabra-Base-Spiral-CFL-Light-Bulb-2-Pack-BPESL13TC-2/202306283,,
ENERGY STAR CFL Bulbs  - 9-11 W,6.16,1,Feit Electric 40W Equivalent Soft White (2700K) CA10 CFL Light Bulb (12-Pack),http://www.homedepot.com/p/Feit-Electric-40W-Equivalent-Soft-White-2700K-CA10-CFL-Light-Bulb-12-Pack-BPESL7C-12/100653110,,
ENERGY STAR CFL Bulbs  - 9-11 W,6.97,1,EcoSmart 40W Equivalent Soft White (2700K) A15 CFL Light Bulb,http://www.homedepot.com/p/EcoSmart-40W-Equivalent-Soft-White-2700K-A15-CFL-Light-Bulb-ES5A809C/100663850,,
ENERGY STAR CFL Bulbs  - 13-15 W,4.12,1,Feit Electric 60W Equivalent Soft White (2700K) Candelabra Base Spiral CFL Light Bulb (24-Pack),http://www.homedepot.com/p/Feit-Electric-60W-Equivalent-Soft-White-2700K-Candelabra-Base-Spiral-CFL-Light-Bulb-24-Pack-BPESL13TC-2-12/100653140,,
ENERGY STAR CFL Bulbs  - 9-11 W,4.97,1,Philips 40W Equivalent Soft White (2700K) Decorative Candelabra Screw CFL Light Bulb (E)*,http://www.homedepot.com/p/Philips-40W-Equivalent-Soft-White-2700K-Decorative-Candelabra-Screw-CFL-Light-Bulb-E-417410/204498151,,
ENERGY STAR CFL Bulbs  - 13-15 W,4.12,1,Feit Electric 60W Equivalent Daylight (6500K) Candelabra Base Spiral CFL Light Bulb (24-Pack),http://www.homedepot.com/p/Feit-Electric-60W-Equivalent-Daylight-6500K-Candelabra-Base-Spiral-CFL-Light-Bulb-24-Pack-BPESL13TC-D-2-12/202216213,,
ENERGY STAR CFL Bulbs  - 13-15 W,5.81,1, 60W Equivalent Yellow Candelabra Base Spiral CFL Light Bulb (12-Pack),http://www.homedepot.com/p/Unbranded-60W-Equivalent-Yellow-Candelabra-Base-Spiral-CFL-Light-Bulb-12-Pack-BPESL13TC-BUG-12/202818212,,
ENERGY STAR CFL Bulbs  - 13-15 W,4.12,1,Feit Electric 60W Equivalent Bright White (3500K) Spiral CFL Light Bulb (24-Pack),http://www.homedepot.com/p/Feit-Electric-60W-Equivalent-Bright-White-3500K-Spiral-CFL-Light-Bulb-24-Pack-BPESL13TC-BW-2-12/202216237,,
ENERGY STAR CFL Bulbs  - 13-15 W,2.24,1,EcoSmart 60W Equivalent Bright White (3500K) Spiral CFL Light Bulb (4-Pack),http://www.homedepot.com/p/EcoSmart-60W-Equivalent-Bright-White-3500K-Spiral-CFL-Light-Bulb-4-Pack-ES9M814C235KYOW/203880883,,
ENERGY STAR CFL Bulbs  - 13-15 W,5.49,14,EcoSmart 14-Watt (60W) Soft White Globe CFL Light Bulb (2-Pack) (E)*,Specialty,Standard,http://www.homedepot.com/p/EcoSmart-14-Watt-60W-Soft-White-Globe-CFL-Light-Bulb-2-Pack-E-ES5G8142IB/202487542
