Category, Price, Wattage, Name, Source
ENERGY STAR CFL Bulbs ,10.00,1,TCP 40W Equivalent Soft White (2700K) B10 Candelabra Dimmable LED Light Bulb (3-Pack),http://www.homedepot.com/p/TCP-40W-Equivalent-Soft-White-2700K-B10-Candelabra-Dimmable-LED-Light-Bulb-3-Pack-RLDCT5W27K3/204499399
ENERGY STAR CFL Bulbs ,14.97,1,TCP 60W Equivalent Soft White (2700K) G25 Dimmable LED Light Bulb,http://www.homedepot.com/p/TCP-60W-Equivalent-Soft-White-2700K-G25-Dimmable-LED-Light-Bulb-RLG258W27K/204955600
ENERGY STAR CFL Bulbs ,10.97,1,TCP 40W Equivalent Soft White (2700K) G25 Dimmable LED Light Bulb,http://www.homedepot.com/p/TCP-40W-Equivalent-Soft-White-2700K-G25-Dimmable-LED-Light-Bulb-RLG255W27K/204651031
ENERGY STAR CFL Bulbs ,10.00,1,TCP 40W Equivalent Soft White (2700K) G25 LED Light Bulb (3-Pack),http://www.homedepot.com/p/TCP-40W-Equivalent-Soft-White-2700K-G25-LED-Light-Bulb-3-Pack-RLG255W27KND3/204499398
ENERGY STAR CFL Bulbs ,10.98,1,TCP 40W Equivalent Daylight (5000K) Blunt Tip Candelabra Deco LED Light Bulb (2-Pack),http://www.homedepot.com/p/TCP-40W-Equivalent-Daylight-5000K-Blunt-Tip-Candelabra-Deco-LED-Light-Bulb-2-Pack-RLDCT5W50K2/204955512
ENERGY STAR CFL Bulbs ,9.99,1,TCP 40W Equivalent Soft White (2700K) B10 Dimmable LED Light Bulb (2-Pack),http://www.homedepot.com/p/TCP-40W-Equivalent-Soft-White-2700K-B10-Dimmable-LED-Light-Bulb-2-Pack-RLDCT5W27K2/204462744
ENERGY STAR CFL Bulbs ,2.73,1,Philips 0.6-Watt C7 Night Light Replacement LED Light Bulb (2-Pack),http://www.homedepot.com/p/Philips-0-6-Watt-C7-Night-Light-Replacement-LED-Light-Bulb-2-Pack-421818/203343848
ENERGY STAR CFL Bulbs ,9.97,1,Feit Electric 25W Equivalent Soft White (3000K) G25 LED Light Bulb,http://www.homedepot.com/p/Feit-Electric-25W-Equivalent-Soft-White-3000K-G25-LED-Light-Bulb-BPG25-LED-RP/203434264
ENERGY STAR CFL Bulbs ,9.99,1,TCP 40W Equivalent Soft White (2700K) B10 Frosted Decorative LED Light Bulb (2-Pack),http://www.homedepot.com/p/TCP-40W-Equivalent-Soft-White-2700K-B10-Frosted-Decorative-LED-Light-Bulb-2-Pack-RLDCT5W27KF2/204462745
ENERGY STAR CFL Bulbs ,19.97,1,EcoSmart 40W Equivalent Soft White (2700K) G25 LED Light Bulb,http://www.homedepot.com/p/EcoSmart-40W-Equivalent-Soft-White-2700K-G25-LED-Light-Bulb-ECS-25-40WE-W27-120/203914628
ENERGY STAR CFL Bulbs ,9.96,1,TCP 35W Equivalent Bright White (3000K) GU10 Dimmable LED Spot Light Bulb (3-Pack),http://www.homedepot.com/p/TCP-35W-Equivalent-Bright-White-3000K-GU10-Dimmable-LED-Spot-Light-Bulb-3-Pack-RLMR167GU1030K3/204499280
ENERGY STAR CFL Bulbs ,10.98,1,TCP 40W Equivalent Soft White (2700K) Flame Tip Candelabra Deco LED Light Bulb (2-Pack),http://www.homedepot.com/p/TCP-40W-Equivalent-Soft-White-2700K-Flame-Tip-Candelabra-Deco-LED-Light-Bulb-2-Pack-RLDCF5W27K2/204955500
ENERGY STAR CFL Bulbs ,10.98,1,TCP 40W Equivalent Soft White (2700K) Flame Tip Frosted Candelabra Deco LED Light Bulb (2-Pack),http://www.homedepot.com/p/TCP-40W-Equivalent-Soft-White-2700K-Flame-Tip-Frosted-Candelabra-Deco-LED-Light-Bulb-2-Pack-RLDCF5W27KF2/204955508
ENERGY STAR CFL Bulbs ,19.97,1,EcoSmart 40W Equivalent Soft White (2700K) G25 LED Light Bulb,http://www.homedepot.com/p/EcoSmart-40W-Equivalent-Soft-White-2700K-G25-LED-Light-Bulb-ECS-25-40WE-W27-120-DG/204831397
ENERGY STAR CFL Bulbs ,8.98,1,TCP 25W Equivalent Soft White (2700K) Flame Tip Candelabra Deco LED Light Bulb (2-Pack),http://www.homedepot.com/p/TCP-25W-Equivalent-Soft-White-2700K-Flame-Tip-Candelabra-Deco-LED-Light-Bulb-2-Pack-RLDCF4W27K2/204955491
