Category, Price, Wattage, Name, Source
ENERGY STAR CFL Bulbs  - 9-11 W,1.74,29,Philips EcoVantage 29-Watt Halogen A19 Clear  Light Bulb (2-Pack),http://www.homedepot.com/p/Philips-EcoVantage-29-Watt-Halogen-A19-Clear-Light-Bulb-2-Pack-410506/203536940
ENERGY STAR CFL Bulbs  - 9-11 W,2.74,29,GE Reveal 29-Watt Halogen A19 Energy Efficient Reveal Light Bulb (4-Pack),http://www.homedepot.com/p/GE-Reveal-29-Watt-Halogen-A19-Energy-Efficient-Reveal-Light-Bulb-4-Pack-29AW-RV-H-4-12TP-120/203524352
ENERGY STAR CFL Bulbs  - 9-11 W,1.49,29,Philips EcoVantage 29-Watt Halogen A19 Soft White Dimmable Light Bulb (4-Pack),http://www.homedepot.com/p/Philips-EcoVantage-29-Watt-Halogen-A19-Soft-White-Dimmable-Light-Bulb-4-Pack-426007/203637004
ENERGY STAR CFL Bulbs  - 9-11 W,1.59,29,Philips 29-Watt Halogen A19  Household  Light Bulb (2-Pack),http://www.homedepot.com/p/Philips-29-Watt-Halogen-A19-Household-Light-Bulb-2-Pack-409839/202514340
ENERGY STAR CFL Bulbs  - 9-11 W,1.46,29,Philips EcoVantage 29-Watt Halogen A19 Soft White (2700K) Dimmable Light Bulb (24-Pack),http://www.homedepot.com/p/Philips-EcoVantage-29-Watt-Halogen-A19-Soft-White-2700K-Dimmable-Light-Bulb-24-Pack-426007-0/203784230
ENERGY STAR CFL Bulbs  - 9-11 W,6.88,29,Illumine 29-Watt Halogen Light Bulb (10-Pack),http://www.homedepot.com/p/Illumine-29-Watt-Halogen-Light-Bulb-10-Pack-8115122/203338517
ENERGY STAR CFL Bulbs  - 13-15 W,2.74,43,GE Reveal 43-Watt Halogen A19 Energy Efficient Reveal Light Bulb (4-Pack),http://www.homedepot.com/p/GE-Reveal-43-Watt-Halogen-A19-Energy-Efficient-Reveal-Light-Bulb-4-Pack-43AW-RV-H-4-12TP-120/203524362
ENERGY STAR CFL Bulbs  - 13-15 W,1.49,43,Philips EcoVantage 43-Watt Halogen A19 Soft White Dimmable Light Bulb (4-Pack),http://www.homedepot.com/p/Philips-EcoVantage-43-Watt-Halogen-A19-Soft-White-Dimmable-Light-Bulb-4-Pack-426031/203637006
ENERGY STAR CFL Bulbs  - 13-15 W,1.64,43,Philips EcoVantage 43-Watt Halogen A19 Household Light Bulb (2-Pack),http://www.homedepot.com/p/Philips-EcoVantage-43-Watt-Halogen-A19-Household-Light-Bulb-2-Pack-409847/202514341
ENERGY STAR CFL Bulbs  - 13-15 W,0.99,43,Philips EcoVantage 43-Watt Halogen A19 Light Bulb (6-Pack),http://www.homedepot.com/p/Philips-EcoVantage-43-Watt-Halogen-A19-Light-Bulb-6-Pack-418830/202864685
ENERGY STAR CFL Bulbs  - 13-15 W,1.46,43,Philips EcoVantage 43-Watt Halogen A19 Soft White (2700K) Dimmable Light Bulb(24-Pack),http://www.homedepot.com/p/Philips-EcoVantage-43-Watt-Halogen-A19-Soft-White-2700K-Dimmable-Light-Bulb-24-Pack-426031-0/203784231
ENERGY STAR CFL Bulbs  - 13-15 W,1.41,43,Philips EcoVantage 43-Watt Halogen A19 Natural Light Bulb (24-Pack),http://www.homedepot.com/p/Philips-EcoVantage-43-Watt-Halogen-A19-Natural-Light-Bulb-24-Pack-226951/203267689
ENERGY STAR CFL Bulbs  - 13-15 W,1.92,43,Philips EcoVantage 43-Watt Halogen A19  Natural Light Bulb (2-Pack),http://www.homedepot.com/p/Philips-EcoVantage-43-Watt-Halogen-A19-Natural-Light-Bulb-2-Pack-226951/202514343
ENERGY STAR CFL Bulbs  - 13-15 W,1.42,43,Philips EcoVantage 43-Watt Halogen A19 Soft White Light Bulb (24-Pack),http://www.homedepot.com/p/Philips-EcoVantage-43-Watt-Halogen-A19-Soft-White-Light-Bulb-24-Pack-409847/203267674
ENERGY STAR CFL Bulbs  - 13-15 W,1.75,43,Sylvania 43-Watt Halogen A19 Double Life Dimmable Light Bulb (4-Pack),http://www.homedepot.com/p/Sylvania-43-Watt-Halogen-A19-Double-Life-Dimmable-Light-Bulb-4-Pack-52598/205092478
ENERGY STAR CFL Bulbs  - 13-15 W,0.72,43,TCP 43-Watt  Halogen A19 Soft White (3000K)  Dimmable  Light Bulb (4-Pack),http://www.homedepot.com/p/TCP-43-Watt-Halogen-A19-Soft-White-3000K-Dimmable-Light-Bulb-4-Pack-442243B4/204631507
ENERGY STAR CFL Bulbs  - 18-20 W,5.99,53,Philips EcoVantage 53-Watt Halogen PAR30L Flood  Light Bulb (2-Pack),http://www.homedepot.com/p/Philips-EcoVantage-53-Watt-Halogen-PAR30L-Flood-Light-Bulb-2-Pack-429365/203231695
ENERGY STAR CFL Bulbs  - 18-20 W,7.97,53,Philips EcoVantage 53-Watt Halogen PAR30L Dimmable  Flood Light Bulb,http://www.homedepot.com/p/Philips-EcoVantage-53-Watt-Halogen-PAR30L-Dimmable-Flood-Light-Bulb-419549/203231690
ENERGY STAR CFL Bulbs  - 18-20 W,8.15,53,Philips EcoVantage 53-Watt Halogen PAR30S Indoor/Outdoor Dimmable Flood Light Bulb (6-Pack),http://www.homedepot.com/p/Philips-EcoVantage-53-Watt-Halogen-PAR30S-Indoor-Outdoor-Dimmable-Flood-Light-Bulb-6-Pack-421438/203784252
ENERGY STAR CFL Bulbs  - 18-20 W,7.97,53,Philips EcoVantage 53-Watt Halogen PAR30L Dimmable  Spot Light Bulb,http://www.homedepot.com/p/Philips-EcoVantage-53-Watt-Halogen-PAR30L-Dimmable-Spot-Light-Bulb-419564/203231696
ENERGY STAR CFL Bulbs  - 18-20 W,6.19,53,Philips EcoVantage 53-Watt Halogen PAR30L Indoor/Outdoor Dimmable Flood Light Bulb (32-Pack),http://www.homedepot.com/p/Philips-EcoVantage-53-Watt-Halogen-PAR30L-Indoor-Outdoor-Dimmable-Flood-Light-Bulb-32-Pack-429365/203784250
ENERGY STAR CFL Bulbs  - 18-20 W,1.41,53,Philips EcoVantage 53-Watt Halogen A19 Natural Light Bulb (24-Pack),http://www.homedepot.com/p/Philips-EcoVantage-53-Watt-Halogen-A19-Natural-Light-Bulb-24-Pack-226969/203267693
ENERGY STAR CFL Bulbs  - 18-20 W,5.97,53,Philips EcoVantage 53-Watt Halogen PAR30S Soft White (2900K) Flood Light Bulb,http://www.homedepot.com/p/Philips-EcoVantage-53-Watt-Halogen-PAR30S-Soft-White-2900K-Flood-Light-Bulb-428986/204511865
ENERGY STAR CFL Bulbs  - 18-20 W,5.97,53,Philips EcoVantage 53-Watt Halogen PAR30L Soft White (2790K) Flood Light Bulb,http://www.homedepot.com/p/Philips-EcoVantage-53-Watt-Halogen-PAR30L-Soft-White-2790K-Flood-Light-Bulb-428952/204511867
ENERGY STAR CFL Bulbs  - 18-20 W,1.75,53,Sylvania 53-Watt Halogen A19 Double Life Dimmable Light Bulb (4-Pack),http://www.homedepot.com/p/Sylvania-53-Watt-Halogen-A19-Double-Life-Dimmable-Light-Bulb-4-Pack-52599/205092479
ENERGY STAR CFL Bulbs  - 18-20 W,7.97,53,Philips EcoVantage 53-Watt Halogen PAR38 Soft White (2900K) Spot Light Bulb,http://www.homedepot.com/p/Philips-EcoVantage-53-Watt-Halogen-PAR38-Soft-White-2900K-Spot-Light-Bulb-428896/204511868
ENERGY STAR CFL Bulbs  - 18-20 W,7.97,53,Philips EcoVantage 53-Watt Halogen PAR38 Soft White (2900K) Flood Light Bulb,http://www.homedepot.com/p/Philips-EcoVantage-53-Watt-Halogen-PAR38-Soft-White-2900K-Flood-Light-Bulb-428854/204511869
ENERGY STAR CFL Bulbs  - 18-20 W,2.74,53,GE Reveal 53-Watt A19 Halogen Energy Efficient Reveal Light Bulb (4-Pack),http://www.homedepot.com/p/GE-Reveal-53-Watt-A19-Halogen-Energy-Efficient-Reveal-Light-Bulb-4-Pack-53AW-RV-H-4-12TP-120/203524374
ENERGY STAR CFL Bulbs  - 18-20 W,8.97,53,Philips EcoVantage 53-Watt (75W) Halogen PAR30S Flood Light Bulb,http://www.homedepot.com/p/Philips-EcoVantage-53-Watt-75W-Halogen-PAR30S-Flood-Light-Bulb-421438/203528711
ENERGY STAR CFL Bulbs  - 18-20 W,8.97,53,Philips EcoVantage 53-Watt (75W) Halogen PAR30S Spot Light Bulb,http://www.homedepot.com/p/Philips-EcoVantage-53-Watt-75W-Halogen-PAR30S-Spot-Light-Bulb-421123/203528709
ENERGY STAR CFL Bulbs  - 18-20 W,8.57,53,Philips EcoVantage 53-Watt Halogen PAR38 Indoor/Outdoor Dimmable Flood Light Bulb,http://www.homedepot.com/p/Philips-EcoVantage-53-Watt-Halogen-PAR38-Indoor-Outdoor-Dimmable-Flood-Light-Bulb-419440/203231671
ENERGY STAR CFL Bulbs  - 18-20 W,0.72,53,TCP 53-Watt Halogen A19 Bright White (3000K) Dimmable Light Bulb (4-Pack),http://www.homedepot.com/p/TCP-53-Watt-Halogen-A19-Bright-White-3000K-Dimmable-Light-Bulb-4-Pack-442253B4/204631506
ENERGY STAR CFL Bulbs  - 18-20 W,6.88,53,Illumine 53-Watt Halogen Light Bulb (10-Pack),http://www.homedepot.com/p/Illumine-53-Watt-Halogen-Light-Bulb-10-Pack-8115153/203338524
ENERGY STAR CFL Bulbs  - 23-27 W,4.99,72,Philips EcoVantage 72-Watt Halogen PAR38 Indoor/Outdoor Dimmable  Flood Light Bulb (2-Pack),http://www.homedepot.com/p/Philips-EcoVantage-72-Watt-Halogen-PAR38-Indoor-Outdoor-Dimmable-Flood-Light-Bulb-2-Pack-429373/203231668
ENERGY STAR CFL Bulbs  - 23-27 W,4.74,72,Philips EcoVantage 72-Watt Halogen PAR38 Indoor/Outdoor Dimmable Flood Light Bulb  (4-Pack),http://www.homedepot.com/p/Philips-EcoVantage-72-Watt-Halogen-PAR38-Indoor-Outdoor-Dimmable-Flood-Light-Bulb-4-Pack-428805/203231675
ENERGY STAR CFL Bulbs  - 23-27 W,1.49,72,Philips EcoVantage 72-Watt Halogen A19 Soft White Dimmable Light Bulb (4-Pack),http://www.homedepot.com/p/Philips-EcoVantage-72-Watt-Halogen-A19-Soft-White-Dimmable-Light-Bulb-4-Pack-426049/203637038
ENERGY STAR CFL Bulbs  - 23-27 W,4.74,72,Philips EcoVantage 72-Watt Halogen PAR38 Energy Saving Dimmable Flood Light Bulb (4-Pack),http://www.homedepot.com/p/Philips-EcoVantage-72-Watt-Halogen-PAR38-Energy-Saving-Dimmable-Flood-Light-Bulb-4-Pack-428805/203958875
ENERGY STAR CFL Bulbs  - 23-27 W,7.97,72,Philips EcoVantage 72-Watt Halogen PAR38 Indoor/Outdoor Dimmable  Spot Light Bulb,http://www.homedepot.com/p/Philips-EcoVantage-72-Watt-Halogen-PAR38-Indoor-Outdoor-Dimmable-Spot-Light-Bulb-419382/203231666
ENERGY STAR CFL Bulbs  - 23-27 W,1.74,72,Sylvania 72-Watt Halogen A19 Dimmable Soft White Light Bulb (4-Pack),http://www.homedepot.com/p/Sylvania-72-Watt-Halogen-A19-Dimmable-Soft-White-Light-Bulb-4-Pack-52258/203872321
ENERGY STAR CFL Bulbs  - 23-27 W,1.64,72,Philips EcoVantage 72-Watt Halogen A19 Household Light Bulb (2-Pack),http://www.homedepot.com/p/Philips-EcoVantage-72-Watt-Halogen-A19-Household-Light-Bulb-2-Pack-409821/202514342
ENERGY STAR CFL Bulbs  - 23-27 W,1.41,72,Philips EcoVantage 72-Watt Halogen A19 Clear Household Dimmable Light Bulb (24-Pack),http://www.homedepot.com/p/Philips-EcoVantage-72-Watt-Halogen-A19-Clear-Household-Dimmable-Light-Bulb-24-Pack-429241/203267696
ENERGY STAR CFL Bulbs  - 23-27 W,1.46,72,Philips EcoVantage 72-Watt Halogen A19 Soft White (2700K) Dimmable Light Bulb (24-Pack),http://www.homedepot.com/p/Philips-EcoVantage-72-Watt-Halogen-A19-Soft-White-2700K-Dimmable-Light-Bulb-24-Pack-426049-0/203784232
ENERGY STAR CFL Bulbs  - 23-27 W,1.92,72,Philips EcoVantage 72-Watt Halogen A19 Natural Light Bulb (2-Pack),http://www.homedepot.com/p/Philips-EcoVantage-72-Watt-Halogen-A19-Natural-Light-Bulb-2-Pack-226993/202514345
ENERGY STAR CFL Bulbs  - 23-27 W,8.57,72,Philips EcoVantage 72-Watt Halogen PAR38 Indoor/Outdoor Dimmable  Flood Light Bulb,http://www.homedepot.com/p/Philips-EcoVantage-72-Watt-Halogen-PAR38-Indoor-Outdoor-Dimmable-Flood-Light-Bulb-419408/203231667
ENERGY STAR CFL Bulbs  - 23-27 W,1.75,72,Sylvania 72-Watt Halogen A19 Double Life Dimmable Light Bulb (4-Pack),http://www.homedepot.com/p/Sylvania-72-Watt-Halogen-A19-Double-Life-Dimmable-Light-Bulb-4-Pack-52600/205092480
ENERGY STAR CFL Bulbs  - 23-27 W,1.42,72,Philips EcoVantage 72-Watt Halogen A19 Soft White Light Bulb (24-Pack),http://www.homedepot.com/p/Philips-EcoVantage-72-Watt-Halogen-A19-Soft-White-Light-Bulb-24-Pack-409821/203267680
ENERGY STAR CFL Bulbs  - 23-27 W,2.74,72,GE Reveal 72-Watt A19 Halogen Energy Efficient Reveal Light Bulb (4-Pack),http://www.homedepot.com/p/GE-Reveal-72-Watt-A19-Halogen-Energy-Efficient-Reveal-Light-Bulb-4-Pack-72AW-RV-H-4-12TP-120/203524377
ENERGY STAR CFL Bulbs  - 23-27 W,1.58,72,Philips EcoVantage 72-Watt (100-Watt) A19 Clear Household Light Bulb Dimmable (2-Pack),http://www.homedepot.com/p/Philips-EcoVantage-72-Watt-100-Watt-A19-Clear-Household-Light-Bulb-Dimmable-2-Pack-429241/202514346
ENERGY STAR CFL Bulbs  - 23-27 W,6.88,72,Illumine 72-Watt Halogen Light Bulb (10-Pack),http://www.homedepot.com/p/Illumine-72-Watt-Halogen-Light-Bulb-10-Pack-8115177/203338528
